,sim,label,pair_id
0,0.07078396528959274,0.0,552
1,0.7636631727218628,1.0,2925
2,0.8417292237281799,1.0,1021
3,0.9842305779457092,1.0,1331
4,0.19258850812911987,0.0,594
5,0.9784235954284668,1.0,1428
6,0.6358498930931091,1.0,1281
7,0.5585668683052063,1.0,1117
8,0.5851505994796753,1.0,1113
9,0.2768760621547699,1.0,2859
10,0.37690743803977966,1.0,1734
11,0.5258998870849609,1.0,1733
12,0.37690743803977966,1.0,1732
13,0.7112089395523071,1.0,1410
14,0.11866620928049088,0.0,1861
15,0.6171404123306274,1.0,2978
16,0.24213933944702148,1.0,1787
17,0.8268640637397766,1.0,1373
18,0.7533248066902161,1.0,1340
19,0.1532137542963028,0.0,381
20,0.24440984427928925,0.0,279
21,0.5833961963653564,1.0,3102
22,0.35694101452827454,1.0,2902
23,0.5384680032730103,1.0,1730
24,0.8744821548461914,1.0,1047
25,0.14982689917087555,0.0,575
26,0.2422308474779129,0.0,496
27,0.3541416823863983,0.0,2190
28,0.3661730885505676,0.0,2108
29,0.8237478137016296,1.0,3230
30,0.7483092546463013,1.0,2993
31,0.5572192072868347,1.0,2992
32,0.4146538972854614,1.0,2991
33,0.4916675090789795,1.0,2990
34,0.7955424189567566,1.0,2989
35,0.8610351085662842,1.0,2988
36,0.5660342574119568,1.0,2920
37,0.32373929023742676,1.0,2916
38,0.6518206596374512,1.0,2751
39,0.31194281578063965,1.0,2704
40,0.3590540885925293,1.0,1750
41,0.633480429649353,1.0,1692
42,0.887393057346344,1.0,1096
43,0.7393252849578857,1.0,922
44,0.7000876069068909,1.0,921
45,0.7433287501335144,1.0,920
46,0.7430567741394043,1.0,916
47,0.23252370953559875,0.0,335
48,0.0985586941242218,0.0,2002
49,0.6603497862815857,1.0,3186
50,0.44563958048820496,1.0,3156
51,0.5016145706176758,1.0,3154
52,0.4701550304889679,1.0,3017
53,0.5184029936790466,1.0,3016
54,0.2888551950454712,1.0,3000
55,0.4099269509315491,1.0,2836
56,0.7393356561660767,1.0,1746
57,0.5397259593009949,1.0,1708
58,0.6078394651412964,1.0,1707
59,0.768702507019043,1.0,1136
60,0.9741241335868835,1.0,829
61,0.948656439781189,1.0,828
62,0.8186665177345276,1.0,750
63,0.05011821165680885,0.0,703
64,0.4796646535396576,0.0,139
65,0.1690848171710968,0.0,118
66,0.20095714926719666,0.0,2419
67,0.26498037576675415,0.0,2366
68,0.2587384879589081,0.0,2230
69,0.22224028408527374,0.0,1114
70,0.6664252281188965,1.0,3150
71,0.7246095538139343,1.0,3130
72,0.6183014512062073,1.0,3126
73,0.5379670858383179,1.0,3049
74,0.31707313656806946,1.0,3023
75,0.5293834209442139,1.0,3002
76,0.7363702058792114,1.0,2980
77,0.5785490870475769,1.0,2879
78,0.5789393782615662,1.0,2820
79,0.6713500022888184,1.0,1506
80,0.8074153661727905,1.0,1451
81,0.6922317147254944,1.0,1336
82,0.903667688369751,1.0,1233
83,0.8730112910270691,1.0,1200
84,0.6170421242713928,1.0,719
85,0.41337305307388306,0.0,623
86,0.27552086114883423,0.0,298
87,0.32214096188545227,0.0,2606
88,0.47106385231018066,0.0,2195
89,0.23925209045410156,0.0,2109
90,0.12577985227108002,0.0,1226
91,0.8674620389938354,1.0,3246
92,0.7560943365097046,1.0,3241
93,0.8855962157249451,1.0,3198
94,0.7712073922157288,1.0,2959
95,0.9331612586975098,1.0,2933
96,0.4602479636669159,1.0,2821
97,0.45903754234313965,1.0,2752
98,0.9480518698692322,1.0,1714
99,0.4535168707370758,1.0,1699
100,0.4535168707370758,1.0,1698
101,0.2934519648551941,1.0,1594
102,0.4715286195278168,1.0,1586
103,0.3947136402130127,1.0,1549
104,0.9115793704986572,1.0,1255
105,0.7266331315040588,1.0,1040
106,0.7516825199127197,1.0,902
107,0.7624391913414001,1.0,812
108,0.7178287506103516,1.0,808
109,0.5553250312805176,0.0,539
110,0.2784439027309418,0.0,532
111,0.4696911573410034,0.0,520
112,0.14283423125743866,0.0,372
113,0.24403977394104004,0.0,342
114,0.14567488431930542,0.0,122
115,0.3421775996685028,0.0,66
116,0.28423458337783813,0.0,2530
117,0.27654317021369934,0.0,2439
118,0.23704050481319427,0.0,2434
119,0.2429453730583191,0.0,2414
120,0.32420915365219116,0.0,2342
121,0.26160719990730286,0.0,2291
122,0.1603127121925354,0.0,2225
